recipeName,ingredients,numberOfIngredients,prepTime,cookTime,totalTime,servings,cuisine,course,diet
Masala Karela Recipe,"Karela, Salt, Onion, Gram Flour, Turmeric Powder, Red Chilli Powder, Cumin Seeds, Coriander Powder, Amchur, Sunflower Oil",10,15,30,45,6,Indian,Side Dish,Diabetic Friendly
Spicy Tomato Rice ,"Rice  Cooked, Tomato, Bc Belle Bhat Powder, Salt, Chickpea Lentils, Cumin Seeds, White Urad Dal, Teaspoon Mustard, Green Chilli, Dry Red Chilli, Cashew Peanuts, Oil   Asafoetida",12,5,10,15,3,South Indian Recipes,Main Course,Vegetarian
Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,"Rice Vermicelli Noodles, Onion, Carrots, Green Peas, Green Chilli, Asafoetida, Mustard Seeds, White Urad Dal, Ghee, Curry Leaves, Salt, Lemon Juice",12,20,30,50,4,South Indian Recipes,South Indian Breakfast,High Protein Vegetarian
Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,"Chicken, Onion, Tomato, Green Chilli, Ginger, Garlic, Turmeric Powder, Garam Masala Powder, Sesame, Salt, Methi Seeds, Coriander, Dry Red Chilli, Fennel Seeds, Sesame, Garlic, Sorrel Leaves, Salt",18,15,30,45,4,Andhra,Lunch,Non Vegeterian
Adrak Chutney ,"Chana Dal, White Urad Dal, Red Chilli, Coriander Seeds, , Onion, Tomato, Salt, Teaspoon Mustard, Asafoetida, Oil, Curry",12,10,20,30,4,Andhra,South Indian Breakfast,Vegetarian
Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),"Rice, Yellow Moong Dal, Mint Leaves, Coriander, Green Chilli, Ginger, Cumin Seeds, Water, Sunflower Oil, Salt, Ghee, Cashew Nuts, Cumin Seeds, Whole Black Peppercorns, Curry Leaves, Asafoetida",16,10,20,30,4,South Indian Recipes,South Indian Breakfast,High Protein Vegetarian
Udupi Style Ash Gourd Coconut Curry Recipe,"Vellai Poosanikai, Turmeric Powder, Salt, Sunflower Oil, Dry Red Chilli, Fresh Coconut, Tamarind Water, Methi Seeds, Cumin Seeds, Coriander, Sesame Seeds, Jaggery, Tamarind Water, Sunflower Oil, Mustard Seeds, Curry Leaves, Dry Red Chilli",17,10,30,40,4,Udupi,Lunch,Vegetarian
Mexican Style Black Bean Burrito Recipe,"Tortillas, Black Beans, Spinach Leaves, Onion, Tomato, Garlic, Coriander, Rice Brown Rice, Lemon Juice, Spring Onion Greens, Cheddar Cheese, Hung Curd",12,10,30,40,4,Mexican,Lunch,Vegetarian
Spicy Crunchy Masala Idli Recipe,"Idli, Green Bell Pepper, Tomato, Onion, Green Chilli, Red Chilli Powder, Turmeric Powder, Tomato Ketchup, Coriander, Mint Leaves, Sunflower Oil, Salt",12,10,20,30,3,South Indian Recipes,Snack,Vegetarian
Cauliflower Leaves Chutney ,"Cabbage Leaves, Tomato, Tamarind, White Urad Dal, Red Chilli, Salt, Asafoetida, Garlic, Turmeric Powder, Big Spoon Oil, Rye, Cumin Seeds, Curry Leaves",13,5,20,25,3,South Indian Recipes,Side Dish,Vegetarian
Homemade Baked Beans Recipe (Wholesome & Healthy),"Dry Beans, Extra Virgin Olive Oil, Onion, Clove Garlic, Tomato, Honey More, Cumin Powder, Dried Oregano, Red Chilli Powder Cayenne Pepper, Salt And Pepper",10,60,60,120,4,Fusion,High Protein Vegetarian,Vegetarian
Veg Chili Cheese Burgers Recipe,"Burger Buns, Pickled Jalapenos, Cheese Slices, Potato, Onion, Red Chilli Powder, Salt, Whole Egg, Whole Wheat Bread Crumbs, Garlic, Onion, Tomato, Homemade Tomato Puree, Green Bell Pepper, Soy Granules, Red Chilli Powder, Red Chilli Flakes, Cumin Powder, Dried Oregano, Tabasco Original, Honey, Salt, Sunflower Oil",23,10,45,55,4,Continental,Main Course,Vegetarian
Andhra Style Ingavu Chaaru Recipe - Asafoetida Flavored Tamarind Rasam,"Tamarind Water, Arhar Dal, Asafoetida, Salt, Mustard Seeds, Cumin Seeds, Methi Seeds, Curry Leaves, Asafoetida, Sunflower Oil",10,0,30,30,4,Andhra,Lunch,Vegetarian
Aar Macher Jhol Recipe - Bengali Style Fish In Tomato Gravy,"Aar Maach, Tomato, Bay Leaves, Ginger  Paste, Green Chilli, Cumin Powder, Coriander Powder, Salt, Cumin Seeds, Turmeric Powder, Green Chilli, Mustard Oil, Water  Add  If You Like A Loose Gravy, Sugar, Coriander",15,5,15,20,2,Bengali Recipes,Dinner,High Protein Non Vegetarian
Saunf Aloo (Fennel Potato Curry) Recipe,"Potato, Fennel Seeds, Red Chilli Powder, Turmeric Powder, Fresh Cream, Coriander",6,10,15,25,6,Punjabi,Lunch,Vegetarian
South Indian Onion Chutney ,"Onion, Cumin Seeds, Black Urad Dal, Tamarind Paste, Dry Red Chilli, Jaggery, Oil, Salt, As Per  Rye, Curry Leaves, Oil",11,20,20,40,4,South Indian Recipes,Side Dish,Vegetarian
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,"Whole Eggs, Cinnamon Stick, Bay Leaf, Cloves, Sunflower Oil, Coriander Powder, Garam Masala Powder, Fresh Cream, Coriander, Mint Leaves, Green Chilli, Onion, Ginger, Garlic",14,15,20,35,4,Indian,Lunch,Eggetarian
Grated Bottle Gourd Yogurt Salad ,"Curd, Gourd, Cucumber, Green, Green Coriander, Cumin Powder, Salt",7,15,15,30,4,Indian,Side Dish,Vegetarian
Homemade Tater Tots Recipe,"Potato, Garlic Powder, Onion Powder, Dried Oregano, Coriander, Red Chilli Flakes, All Purpose Flour, Rice Flour, Salt, Sunflower Oil",10,15,45,60,8,Continental,Appetizer,Vegetarian
Chettinad Vegetable Pulao Recipe,"Rice, Small Onion, Garlic, Ginger, Green Chilli, Bay Leaf, Red Chilli Powder, Turmeric Powder, Carrot, Green Beans, Potato, Ghee, , Cinnamon, Fennel, Whole Pepper, Coriander Seeds, Green Peas, Mint Leaves",19,15,45,60,4,Chettinad,Dinner,Vegetarian
Lehsun Amla Chutney Recipe,"Amla, Small Onion, Bud Garlic, Green Chilli, Mint, Coriander, Salt, Oil, Oil, Rye, Urad Dal, Chana Dal, Curry Leaves, Cashew Nuts",14,5,10,15,3,Tamil Nadu,Side Dish,Vegetarian
Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,"Gram Flour, Whole Wheat Flour, Rice Flour, Cucumber, Turmeric Powder, Cumin Powder, Coriander Powder, Red Chilli Powder, Green Chilli, Coriander, Garlic, Salt, Ghee",13,30,30,60,4,Maharashtrian Recipes,Indian Breakfast,Diabetic Friendly
Homemade Healthy Subway Sandwich Recipe With Beet & Sprout,"Submarine Bread, Green Moong Sprouts, Beetroot, Garlic, Hung Curd, Coriander, Tomato, Stalks Spring Onion, Tabasco Original  Hot Sauce, Salt And Pepper",10,15,15,30,4,Fusion,Dinner,High Protein Vegetarian
South Indian Style Murungakkai Poriyal Recipe - Drumstick Stir Fry,"Drumstick, Fresh Coconut, Green Chilli, Curry Leaves, Mustard Seeds, Coconut Oil, Dry Red Chilli, Turmeric Powder, Salt, Water",10,30,15,45,4,South Indian Recipes,Side Dish,Vegetarian
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,"Mango Pulp, Curd, Sugar Honey, Saffron Strands, Badam, Milk, Ice Cubes",7,15,10,25,2,Indian,Snack,Vegetarian
Chettinad Sweet Paniyaram Recipe,"Idli Dosa Mixture, Rice Rava, Jaggery, Coconut, Of Cardamom Powder, Salt, Water, Oil",8,5,20,25,10,Chettinad,Snack,Vegetarian
Mini Dal Samosa Curry/Sabzi Recipe,"Cardamom, Whole Black Peppercorns, Cinnamon Stick, Cloves, Mace, Bay Leaf, Black Cardamom, Kasuri Methi, Kashmiri Red Chilli Powder, Turmeric Powder, Coriander Powder, Garam Masala Powder, Samosas, Cashew Nuts, Green Chilli, Onion, Tomato, Ginger, Sugar, Fresh Cream, Sunflower Oil",21,5,30,35,3,North Indian Recipes,Lunch,Vegetarian
Spinach Garlic Bruschetta Recipe With Red Bell Pepper Sauce,"Baguette, Butter, Garlic, Spinach Leaves, Red Bell Pepper, Tomato, Onion, Black Pepper Powder, Italian Seasoning, Fresh Cream, Cheddar Cheese, Salt, Roasted Tomato Pasta Sauce",13,10,20,30,4,Italian Recipes,Appetizer,Vegetarian
Mini Dal Pakwan Chaat Recipe - A Perfect Party Snack,"Whole Wheat Flour, All Purpose Flour, Ajwain, Cumin Seeds, Ghee, Salt, Sunflower Oil, Chana Dal, Turmeric Powder, Garam Masala Powder, Red Chilli Powder, Amchur, Sugar, Salt, Ghee, Asafoetida, Cumin Seeds, Green Chilli, Curry Leaves, Sweet Chutney, Green Chutney, Onion, Fresh Pomegranate Fruit Kernels, Sev",24,20,45,65,30,Sindhi,Appetizer,Vegetarian
Asian Style Sweet & Spicy Green Beans Recipe,"Green Beans, Garlic, Soy Sauce, Thai Sweet Chilli Sauce, Lemon, Rice Wine Vinegar, Roasted Peanuts, Salt, Sesame",9,10,15,25,4,Thai,Side Dish,High Protein Vegetarian
Chinese Darsaan Recipe With Ice Cream,"Sunflower Oil, All Purpose Flour, Baking Powder, Water Make The Dough, Sunflower Oil Deep Fry, Honey, Sugar, Sesame Seeds, Water, Vanilla Extract",10,15,25,40,4,Chinese,Dessert,Vegetarian
Sundakkai And Methi Leaves Sambar Recipe,"Sundkai, Fenugreek, Arhar Dal, Tomato, Tamarind, Turmeric Powder, Sambar Powder, Coriander Powder, Mustard, Cumin Seeds, Dry Red Chili, Asafoetida, Oil, Salt, Curry Leaves, Green Coriander, Water",17,30,35,65,4,South Indian Recipes,Lunch,Diabetic Friendly
"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe ","Cabbage, Spinach, Fresh Pomegranate Fruit Kernels, Lemon Juice, Extra Virgin Olive Oil, Salt And Pepper",6,15,0,15,4,Continental,Appetizer,Vegetarian
Matar Samosa Recipe -Green Pea Samosa,"All Purpose Flour, Ghee, Salt, Sunflower Oil, Ghee, Cumin Seeds, Green Chilli Sauce, Cinnamon Powder, Garam Masala Powder, Red Chilli Powder, Amchur, Green Peas, Salt, All Purpose Flour, Water",15,45,10,55,4,North Indian Recipes,Snack,Vegetarian
Eggless Chocolate Cupcakes With Raspberry & Cheese Frosting,"All Purpose Flour, Sugar, Dark Chocolate, Cocoa Powder, Salted Butter, Milk, Baking Powder, Baking Soda, Vanilla Extract, Britannia Cream Cheese, Caster Sugar, Vanilla Extract, Fresh Raspberries",13,20,20,40,4,Continental,Dessert,Vegetarian
Kerala Palada Pradhaman Recipe,"Ada, Milk, Sugar, Ghee, Cardamom Powder",5,15,75,90,4,Kerala Recipes,Dessert,Vegetarian
Tindora Sambharo Recipe - Instant Tendli Pickle,"Tindora, Red Chilli Powder, Split Methi Seeds, Split Mustard Seeds, Turmeric Powder, Asafoetida, Sunflower Oil, Lemon, Salt",9,20,15,35,1,Gujarati Recipes﻿,Side Dish,Vegetarian
Chettinad Style Chicken Roast Recipe,"Chicken Legs, Hung Curd, Turmeric Powder, Salt, Sunflower Oil, Onion, Garlic, Ginger, Fresh Coconut, Cumin Seeds, Coriander, Methi Seeds, Kalonji, Whole Black Peppercorns, Dry Red Chilli, Fennel Seeds, Cinnamon Stick, Cloves, Cardamom, Mustard Seeds, Ghee, Tamarind Paste, Jaggery, Ghee, Mustard Seeds, Curry Leaves, Garlic",27,15,20,35,3,Chettinad,Appetizer,High Protein Non Vegetarian
Palakottai Kuzhambu Recipe-Kongunad Style Jackfruit Seeds Curry,"Jackfruit Seeds, Tamarind Water, Garlic, Mustard Seeds, Cumin Seeds, Curry Leaves, Turmeric Powder, Red Chilli Powder, Sambar Powder, Asafoetida, Coriander, Salt, Sunflower Oil, Fresh Coconut, Whole Black Peppercorns, Dry Red Chilli, Onion, Tomato, Coriander, Sunflower Oil",20,5,20,25,4,Tamil Nadu,Side Dish,Vegetarian
Baingan Bharta ,"Eggplant, Ginger, Onion, Tomato, Green Chilli, Turmeric Powder, Garam Masala Powder, Coriander Powder, Butter, Red Chili Powder, Salt, Oil, S Of Coriander",13,25,35,60,4,Punjabi,Side Dish,Vegetarian
Kesar Chai Recipe - A Delicious Saffron Flavored Indian Tea,"Water, Tea Leaves, Milk, Saffron Strands More",4,0,10,10,2,North Indian Recipes,North Indian Breakfast,Vegetarian
Tamil Nadu Raw Mango Pachadi Recipe,"Raw Mango, Tamarind Water, Jaggery, Sambar Powder, Turmeric Powder, Salt, Mustard, Asafoetida, Sprig Curry Leaves, Dry Red Chilli, Oil",11,5,30,35,4,Tamil Nadu,Side Dish,Vegetarian
