,ingredient,count
0,Karela,8
1,Salt,4189
2,Onion,2404
3,Gram Flour,267
4,Turmeric Powder,2235
5,Red Chilli Powder,1678
6,Cumin Seeds,1483
7,Coriander Powder,877
8,Amchur,203
9,Sunflower Oil Rice  Cooked,1
10,Tomato,1211
11,Bc Belle Bhat Powder,1
12,Chickpea Lentils,7
13,White Urad Dal,434
14,Teaspoon Mustard,3
15,Green Chilli,1975
16,Dry Red Chilli,894
17,Cashew Peanuts,1
18,Oil   Asafoetida Rice Vermicelli Noodles,1
19,Carrots,181
20,Green Peas,242
21,Asafoetida,879
22,Mustard Seeds,1072
23,Ghee,723
24,Curry Leaves,1031
25,Lemon Juice Chicken,2
26,Ginger,1559
27,Garlic,1947
28,Garam Masala Powder,837
29,Sesame,149
30,Methi Seeds,274
31,Coriander,1491
32,Fennel Seeds,336
33,Sorrel Leaves,2
34,Salt Chana Dal,11
35,Red Chilli,8
36,Coriander Seeds,40
37,,144
38,Oil,236
39,Curry Rice,1
40,Yellow Moong Dal,85
41,Mint Leaves,324
42,Water,853
43,Sunflower Oil,1601
44,Cashew Nuts,285
45,Whole Black Peppercorns,460
46,Asafoetida Vellai Poosanikai,1
47,Fresh Coconut,605
48,Tamarind Water,115
49,Sesame Seeds,198
50,Jaggery,419
51,Dry Red Chilli Tortillas,1
52,Black Beans,5
53,Spinach Leaves,95
54,Rice Brown Rice,1
55,Lemon Juice,741
56,Spring Onion Greens,91
57,Cheddar Cheese,57
58,Hung Curd Idli,1
59,Green Bell Pepper,307
60,Tomato Ketchup,65
61,Salt Cabbage Leaves,1
62,Tamarind,171
63,Big Spoon Oil,1
64,Rye,66
65,Curry Leaves Dry Beans,1
66,Extra Virgin Olive Oil,606
67,Clove Garlic,57
68,Honey More,3
69,Cumin Powder,744
70,Dried Oregano,215
71,Red Chilli Powder Cayenne Pepper,3
72,Salt And Pepper Burger Buns,2
73,Pickled Jalapenos,43
74,Cheese Slices,4
75,Potato,406
76,Whole Egg,126
77,Whole Wheat Bread Crumbs,90
78,Homemade Tomato Puree,184
79,Soy Granules,8
80,Red Chilli Flakes,261
81,Tabasco Original,27
82,Honey,256
83,Sunflower Oil Tamarind Water,1
84,Arhar Dal,102
85,Sunflower Oil Aar Maach,1
86,Bay Leaves,125
87,Ginger  Paste,2
88,Mustard Oil,211
89,Water  Add  If You Like A Loose Gravy,1
90,Sugar,1047
91,Coriander Potato,11
92,Fresh Cream,216
93,Coriander Onion,4
94,Black Urad Dal,54
95,Tamarind Paste,122
96,As Per  Rye,1
97,Oil Whole Eggs,4
98,Cinnamon Stick,516
99,Bay Leaf,363
100,Cloves,444
101,Garlic Curd,3
102,Gourd,2
103,Cucumber,99
